Template Name,Description,Goal,Patient Age From,Patient Age To,Gender,Diagnosis (comma separated),Complaints/Symptoms (comma separated),Drug Name,Drug Dosage,Drug Period,Drug Comment,Drug Patient Instruction
Diabetes Type 2 Management Plan,"Comprehensive treatment plan for Type 2 Diabetes Mellitus patients including lifestyle modifications, medications, and regular monitoring.","Maintain HbA1c below 7%, prevent complications, improve quality of life",18,100,,Type 2 diabetes mellitus,,Metformin 500mg,1-0-1,1 Month,"Take after meals. Start with low dose and increase gradually.","Take with food to reduce stomach upset. Drink 1 litre water daily. Avoid alcohol."
Hypertension Management Plan,"Standard treatment protocol for Essential Hypertension including lifestyle changes, medication, and regular BP monitoring.","Maintain BP below 130/80 mmHg, prevent cardiovascular complications",30,100,,Essential hypertension,"Headache, Chest pain",Amlodipine 5mg,0-0-1,1 Month,"Calcium channel blocker. Take at night.","Take at the same time daily. Reduce salt intake. Exercise 30 mins daily. Avoid stress."
General Fever Management Plan,"Standard protocol for managing fever with symptomatic treatment and investigations to identify cause.","Reduce fever, identify underlying cause, prevent complications",5,100,,,Other,Paracetamol 500mg,1-1-1,3 Day,"Antipyretic. Take when temperature above 100°F.","Take every 6-8 hours if fever persists. Drink plenty of fluids (2-3 litres water daily). Rest adequately. Sponge with lukewarm water if high fever."
Thyroid Hypothyroidism Plan,"Treatment plan for hypothyroid patients with hormone replacement therapy.","Maintain TSH in normal range, improve energy levels",20,80,,Hypothyroidism,"Fatigue, Weight gain",Levothyroxine 50mcg,1-0-0,1 Month,"Take on empty stomach in morning.","Take 30-60 mins before breakfast. Avoid calcium/iron supplements for 4 hours. Regular TSH monitoring every 6-8 weeks initially."
Migraine Management Plan,"Treatment protocol for recurrent migraine headaches with preventive and acute management.","Reduce frequency and severity of migraine attacks",15,60,,Migraine,Headache,Sumatriptan 50mg,SOS,,Take at onset of migraine.,"Take at first sign of migraine. Rest in dark quiet room. Stay hydrated. Identify and avoid triggers."
GERD/Acidity Management Plan,"Treatment plan for gastroesophageal reflux disease with lifestyle modifications and medications.","Control acid reflux symptoms, prevent complications",18,80,,"Gastroesophageal reflux disease","Heartburn, Chest pain",Pantoprazole 40mg,1-0-0,2 Weeks,"Take before breakfast.","Avoid spicy/oily food. Don't lie down immediately after eating. Elevate head while sleeping. Eat small frequent meals."
Anemia Management Plan,"Treatment plan for iron deficiency anemia with iron supplementation.","Improve hemoglobin levels, reduce fatigue",10,70,Female,Iron deficiency anemia,"Fatigue, Weakness",Ferrous Sulfate 200mg,1-0-1,3 Months,"Take with Vitamin C for better absorption.","Take with orange juice. Avoid tea/coffee for 2 hours. May cause dark stools (normal). Include iron-rich foods in diet."
Asthma Management Plan,"Treatment protocol for bronchial asthma with inhaler therapy.","Control asthma symptoms, prevent exacerbations",5,70,,Asthma,"Breathlessness, Cough",Salbutamol Inhaler,SOS,,"Use during breathlessness.","Rinse mouth after using inhaler. Identify and avoid triggers. Keep rescue inhaler always available. Follow up regularly."
UTI Treatment Plan,"Standard treatment for urinary tract infection.","Eradicate infection, relieve symptoms",18,70,Female,Urinary tract infection,"Painful urination, Frequent urination",Nitrofurantoin 100mg,1-0-1,5 Days,"Complete full course.","Drink plenty of water (3+ litres daily). Don't hold urine. Complete full antibiotic course even if symptoms improve."
Osteoarthritis Management Plan,"Treatment plan for degenerative joint disease with pain management and physiotherapy.","Reduce pain, improve joint mobility",45,100,,Osteoarthritis,"Joint pain, Stiffness",Diclofenac 50mg,0-1-1,2 Weeks,"Take after meals.","Apply warm compress to affected joints. Do gentle exercises. Maintain healthy weight. Avoid prolonged standing."

