Item Code,Item Group,Item Name,Description,Standard Selling Rate,Maintain Stock,Default Unit of Measure,HSN/SAC,Grant Commission,Allow Sales,Allow Purchase,Max Discount (%),Default Price List (Item Defaults),Item Tax Template (Taxes)
PBM-201-1,PBM,Mucositis Management - Grade 1 - 2 Mucositis,"Description:

Indications: Grade 1 - 2 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12","1200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-201-3,PBM,Mucositis Management - Grade 3 Mucositis,"Description:

Indications: Grade 3 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12","2400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-201-4,PBM,Mucositis Management - Grade 4 Mucositis,"Description:

Indications: Grade 4 Mucositis
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-202-1S,PBM,"Pain Relief in Oral Cancer - Acute Pain - Localized pain, small treatment area, shorter sessions","Description:

Indications: Localized pain, small treatment area, shorter sessions
Frequency:   daily
Repeat For:  1 week
# Sessions:  6","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-202-2S,PBM,Pain Relief in Oral Cancer - Acute Pain - Localised pain with 2 sites,"Description:

Indications: Localised pain with 2 sites
Frequency:   daily
Repeat For:  1 week
# Sessions:  6","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-202-MS,PBM,"Pain Relief in Oral Cancer - Acute Pain - Widespread pain, multiple sites treated, longer session duration","Description:

Indications: Widespread pain, multiple sites treated, longer session duration
Frequency:   daily
Repeat For:  1 week
# Sessions:  6","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-203-1S,PBM,"Pain Relief in Oral Cancer - Chronic Pain - Localized pain, small treatment area, shorter sessions","Description:

Indications: Localized pain, small treatment area, shorter sessions
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-203-2S,PBM,Pain Relief in Oral Cancer - Chronic Pain - Localised pain with 2 sites,"Description:

Indications: Localised pain with 2 sites
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-203-MS,PBM,"Pain Relief in Oral Cancer - Chronic Pain - Widespread pain, multiple sites treated, longer session duration","Description:

Indications: Widespread pain, multiple sites treated, longer session duration
Frequency:   2-3 times weekly
Alternate days recommended.
Repeat For:  4-6 weeks
# Sessions:  8 to 24","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-204-1,PBM,"Post-Surgical Wound Healing - Simple surgical wounds, single application.","Description:

Indications: Simple surgical wounds, single application.
Frequency:   daily
Repeat For:  1 week
# Sessions:  7","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-203-2,PBM,Post-Surgical Wound Healing - Large Wounds,"Description:

Indications: Large Wounds
Frequency:   daily
Repeat For:  1 week
# Sessions:  7","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-203-3,PBM,Post-Surgical Wound Healing - Complex Large Wounds,"Description:

Indications: Complex Large Wounds
Frequency:   daily
Repeat For:  1 week
# Sessions:  7","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-204-1,PBM,"Xerostomia Management - Mild dry mouth, minimal gland dysfunction.","Description:

Indications: Mild dry mouth, minimal gland dysfunction.
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-204-2,PBM,"Xerostomia Management - Moderate dry mouth, moderate gland dysfunction.","Description:

Indications: Moderate dry mouth, moderate gland dysfunction.
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-204-3,PBM,"Xerostomia Management - Severe xerostomia, multiple gland involvement, advanced stage.","Description:

Indications: Severe xerostomia, multiple gland involvement, advanced stage.
Frequency:   Once a week
Repeat For:  6 weeks
# Sessions:  6","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-205-1,PBM,"Trismus SMF Management  - Grade 1 Early-stage trismus, mild muscle restriction.","Description:

Indications: Grade 1 Early-stage trismus, mild muscle restriction.
Frequency:   2-3 times a week
Repeat For:  4 weeks
# Sessions:  8 to 12","1200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-205-2,PBM,Trismus SMF Management  - Grade 2 Moderate trismus,"Description:

Indications: Grade 2 Moderate trismus
Frequency:   2-3 times a week
Repeat For:  8 weeks
# Sessions:  16 to 24","1200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
